text,label,spacy_label
hospital observation care on day of discharge,,
"hospital observation care, typically 70 minutes",,
"initial hospital inpatient care, typically 30 minutes per day",,
"initial hospital inpatient care, typically 70 minutes per day",,
"subsequent hospital inpatient care, typically 25 minutes per day",,
"subsequent hospital inpatient care, typically 35 minutes per day",,
"hospital discharge day management, 30 minutes or less",,
"hospital discharge day management, more than 30 minutes",,
"critical care delivery critically ill or injured patient, first 30-74 minutes",,patient
"pathology examination of tissue using a microscope, moderately low complexity",,tissue
"pathology examination of tissue using a microscope, intermediate complexity",,tissue
special stained specimen slides to identify organisms including interpretation and report,,
special stained specimen slides to examine tissue including interpretation and report,,tissue
special stained specimen slides to examine tissue,,tissue
tissue or cell analysis by immunologic technique,,cell
antibody evaluation,,
electron microscopy for diagnosis,,
microscopic genetic analysis of tumor,tumor,tumor
"preparation of specimen, manual",,
aspiration and/or injection of major joint or joint capsule with recording and reporting using ultrasound guidance,ultrasound injection,joint
injection of substance into spinal canal of lower back or sacrum using imaging guidance,injection,spinal canal sacrum
injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,spine nerve,sacral spine nerve root
injections of upper or middle spine facet joint using imaging guidance,spine,spine joint
injections of lower or sacral spine facet joint using imaging guidance,spine,sacral spine joint
destruction of lower or sacral spinal facet joint nerves using imaging guidance,,sacral spinal joint nerves
destruction of lower or sacral spinal facet joint nerves with imaging guidance,,sacral spinal joint nerves
"moderate sedation services by physician also performing a procedure, patient 5 years of age or older, first 15 minutes",,patient
"new patient office or other outpatient visit, typically 45 minutes",,patient
"new patient office or other outpatient visit, typically 60 minutes",,patient
"established patient office or other outpatient visit, typically 15 minutes",,patient
"established patient office or other outpatient, visit typically 25 minutes",,patient
cervical or vaginal cancer screening; pelvic and clinical breast examination,cervical breast,vaginal cancer pelvic breast
"screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",cervical,cervical
"new patient office or other outpatient visit, typically 20 minutes",,patient
"established patient office or other outpatient visit, typically 10 minutes",,patient
"removal of impact ear wax, one ear",,ear ear
automated urinalysis test,,
hemoglobin a1c level,,hemoglobin a1c
vaccine for influenza for injection into muscle,injection,vaccine muscle
pneumococcal vaccine for injection into muscle,injection,muscle
"vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",injection,vaccine skin muscle patient
routine ekg using at least 12 leads including interpretation and report,,
"established patient office or other outpatient, visit typically 40 minutes",,patient
administration of influenza virus vaccine,,influenza virus vaccine
administration of pneumococcal vaccine,,
"annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",,
"urinalysis, manual test",,
"transitional care management services, moderately complexity, requiring face-to-face visits within 14 days of discharge",,
"transitional care management services, highly complexity, requiring face-to-face visits within 7 days of discharge",,
"initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment",,
"annual wellness visit; includes a personalized prevention plan of service (pps), initial visit",,
aspiration of bladder with insertion of bladder tube to skin surface,bladder tube,bladder bladder tube skin
bladder irrigation and/or instillation,bladder,bladder
insertion of temporary bladder catheter,bladder catheter,bladder
insertion of indwelling bladder catheter,bladder catheter,bladder
removal of skin suture with change of bladder tube,bladder tube,skin bladder tube
electronic assessment of bladder emptying,bladder,bladder
ultrasound measurement of bladder capacity after voiding,bladder ultrasound,bladder
diagnostic examination of the bladder and bladder canal (urethra) using an endoscope,bladder,bladder bladder canal urethra
biopsy of the bladder using an endoscope,bladder biopsy,bladder
destruction and/or removal of (0.5 to 2.0 centimeters) small growths of the bladder using an endoscope,bladder,bladder
"removal of foreign body, stone, or stent from bladder canal (urethra) or bladder using an endoscope",bladder,bladder canal urethra bladder
insertion of stent in urinary duct (ureter) using an endoscope,,urinary duct
crushing of stone in urinary duct (ureter) with stent using an endoscope,,stone urinary duct
insertion of implant in bladder canal (urethra) within prostate gland using an endoscope,bladder prostate,bladder canal urethra prostate gland
laser vaporization of prostate including control of bleeding using an endoscope,bleeding prostate,prostate
biopsy of prostate gland,biopsy prostate,prostate gland
imaging of urinary tract,,urinary tract
ultrasound of rectum,ultrasound,rectum
ultrasonic guidance imaging supervision and interpretation for insertion of needle,needle,
"injection beneath the skin or into muscle for therapy, diagnosis, or prevention",injection,skin muscle
"new patient office or other outpatient visit, typically 30 minutes",,patient
"initial hospital inpatient care, typically 50 minutes per day",,
"leuprolide acetate (for depot suspension), 7.5 mg",,leuprolide acetate depot
harvest of veins for coronary artery bypass procedure using an endoscope,artery coronary,veins coronary artery
heart artery bypass to repair one artery,artery heart,heart artery
interpretation and report of heart ultrasound examination using esophageal probe,ultrasound heart,heart esophageal
anesthesia for lens surgery,surgery anesthesia,lens
respiratory inhaled pressure or nonpressure treatment to relieve airway obstruction or for sputum specimen,respiratory,airway sputum
