index,text,label,spacy_label
9926,transpedicular decompression of the left l3 l4 with discectomy,discectomy decompression,
7928,there is a hypermetabolic lymph node identified in the aorta pulmonary window with an suv of ,pulmonary,lymph node aorta pulmonary
10233,radiographic imaging including mri confirms multiple compression fractures of the thoracolumbar spine including t12 l1 and l,mri spine,t12 l1
6054,those people with immunosuppressive conditions such as diabetes mellitus are also more susceptible to athlete s foot,foot diabetes,people
9630,ventriculoperitoneal shunt revision with replacement of ventricular catheter and flushing of the distal end,catheter ventricular distal,ventricular catheter
315,full mouth dental rehabilitation in the operative room under general anesthesia,anesthesia,
11749,intrauterine pregnancy at 37 plus weeks nonreassuring fetal heart rate,heart,intrauterine fetal heart
8548,the patient was instructed to talk to the primary care physician about removal of her feeding tube,tube,patient
610,the abdomen was then prepped and draped in standard sterile surgical fashion,abdomen,abdomen
3163,the brachial artery was free off significant disease,artery,brachial artery
3275,reveals well healed surgical scar in the anteroinferior aspect of the neck,neck,scar anteroinferior
9437,neck no nodes masses or thyromegaly,neck,nodes masses
6446,osborne s fascia was released an ulnar neurolysis performed and the ulnar nerve was mobilized,fascia nerve,ulnar ulnar nerve
3850,clamp was placed on the beginning of the takeoff of the external and the proximal common carotid artery,artery,carotid artery
5385,there is no sign of cuboid fracture,fracture,cuboid
959,the wound was on the planar medial distal and dorsal medial,distal,wound medial distal dorsal medial
3762,the skin incision was approximated with 4 0 monocryl in a subcuticular fashion,incision,skin subcuticular
7856,bowel and bladder function returned quickly,bladder,bowel bladder
10739,the tumor itself was extremely hard,tumor,tumor
7596,035 guidewire into the ureter after removing the 4 french catheter and then placed a ,catheter,ureter
8154,total contrast media was 200 ml of optiray 35,contrast,
6788,at this time the lesion was determined to be amenable by ultrasound guided core biopsy,biopsy ultrasound,
11345,the foot was loaded and the hallux was found to have an interphalangeus deformity present,foot,
11995,the brachytherapy must be customized to fit the individual s tumor and prostate,tumor prostate,tumor
6677,prostate was 15 g and benign on rectal examination and there was no induration of the bladder,bladder prostate,prostate rectal bladder
10976,the patient was awakened from general anesthesia without difficulty,anesthesia,patient
3398,dissection was carried down to the level of the ribs with bovie electrocautery,electrocautery,ribs
9779,tourniquet was released,tourniquet,
10101,25 was applied about 15 ml worth of this was applied for local anesthesia,anesthesia,
6877,a sensory motor length dependent neuropathy consistent with diabetes,diabetes,
1269,a small amount of contrast is seen to opacify small bowel loops on the post evacuation image,contrast,bowel
7642,i made a transverse incision one fingerbreadth proximal to the distal volar wrist crease,incision distal,fingerbreadth proximal
2532,they were granulating nicely and she was scheduled for surgery,surgery,
11147,08 and the femur length to abdomen circumference ratio is normal at 2,abdomen,femur abdomen circumference
9651,the arm was exsanguinated with an esmarch and tourniquet inflated to 250 mmhg,tourniquet,
1612,low back syndrome lumbar spinal stenosis clinically right l2 radiculopathy stable,stenosis lumbar radiculopathy,
1792,ventilator dependent respiratory failure,respiratory,respiratory
7592,chronic obstructive pulmonary disease stable,pulmonary,pulmonary
2495,port was then aspirated for patency and flushed with heparinized saline and summoned to the chest wall,chest,flushed saline
6950,respiratory effort was measured by piezoelectric technology employing an abdominal and thoracic belt,abdominal respiratory,thoracic
1874,i have not had the opportunity to review any investigative data like chest x ray echocardiogram ekg etc,chest echocardiogram,
7163,a small incision was made at the bottom of the previous sternotomy incision,incision,
4379,abdomen soft nontender without hepatosplenomegaly or mass,abdomen mass,abdomen
1743,a small injection of contrast given through arterial sheath and angio seal was placed without incident,contrast injection,arterial sheath
8827,first diagonal branch had a more than 90 stenosis,stenosis,
5136,laparoscopic cholecystectomy with cholangiogram,laparoscopic cholecystectomy,
3299,with biphasic synchronized energy delivered was also unsuccessful with degeneration of the atrial flutter into atrial fibrillation,atrial,atrial atrial
3478,the patient also has increase in back pain with lumbar flexion and rotational movement to the right side,lumbar,patient lumbar
5297,there was an apparent rupture and bleeding ectopic pregnancy in the isthmus portion of the right fallopian tube,bleeding tube,isthmus
8444,the incision was then carried through the skin and subcutaneous tissues down to within a layer of fascia,incision fascia,skin subcutaneous tissues layer
5921,an 8 french feeding tube was then placed within his bladder through the urethra and attached to the drainage,bladder tube,tube bladder urethra
62,cystic artery was identified isolated clipped twice proximally once distally and divided,artery,cystic artery
2880,two heaney were placed on either side of the uterus at the level of cardinal ligaments,uterus,uterus
3801,the patient was brought to operative suite by anesthesia,anesthesia,patient
10872,distal fixation was obtained with an independent screw and a staple,distal,
4230,the post papaverine injection shows increased caliber of the internal carotid artery as well as the anterior cerebral artery,artery anterior injection,papaverine caliber carotid artery cerebral artery
8477,incision and drainage of multiple facial spaces cpt code 4080,incision,facial spaces cpt
919,she had surgery on it and she has plates and screws,surgery,
11809,the lad beyond the distal anastomosis is a relatively small caliber vessel,distal,
9642,i have reassured her that her spine appears stable at this time,spine,
3520,later in the procedure the rv apical catheter was moved to rv outflow tract,catheter,outflow tract
6394,atrial fibrillation coronary disease,coronary atrial,coronary
1758,she has been having difficulty since that time with intermittent diarrhea and abdominal pain,abdominal,abdominal
4830,cataract extraction via phacoemulsification with posterior chamber intraocular lens implantation,cataract,posterior chamber intraocular
3530,1 cholecystectomy,cholecystectomy,
11739,total fluoroscopy time was 12 minutes and 43 seconds,fluoroscopy,
6693,two sutures were then used and tied individually ________ from the tendon,tendon,________
360,the upper eyelid incision was closed with a running subcuticular 6 0 prolene suture bilaterally,incision,
5077,therefore it is possible that we are just dealing with a hemorrhoidal bleed therefore colonoscopy now needed,colonoscopy,
1452,no acute process in the brain,brain,brain
